"大类","类型","CCF分级","川大分级","简称","全称"
"数据库/数据挖掘/内容检索","期刊","C","D","IJSWIS","International Journal on Semantic Web and Information Systems"
"数据库/数据挖掘/内容检索","期刊","C","E","JCIS","Journal of Computer Information Systems"
"数据库/数据挖掘/内容检索","期刊","C","E","JDM","Journal of Database Management"
"数据库/数据挖掘/内容检索","期刊","C",,"JGITM","Journal of Global Information Technology Management"
"数据库/数据挖掘/内容检索","期刊","C","E","JIIS","Journal of Intelligent Information Systems"
"数据库/数据挖掘/内容检索","期刊","C","C","JSIS","The Journal of Strategic Information Systems"
"数据库/数据挖掘/内容检索","期刊","C","E","TIST","ACM Transactions on Intelligent Systems and Technology"
"数据库/数据挖掘/内容检索","期刊","C",,"TORS","ACM Transactions on Recommender Systems"
"数据库/数据挖掘/内容检索","会议","A",,"SIGMOD","ACM SIGMOD Conference"
"数据库/数据挖掘/内容检索","会议","A",,"SIGKDD","ACM SIGKDD Conference on Knowledge Discovery and Data Mining"
"数据库/数据挖掘/内容检索","会议","A",,"ICDE","IEEE International Conference on Data Engineering"
"数据库/数据挖掘/内容检索","会议","A",,"SIGIR","International ACM SIGIR Conference on Research and Development in Information Retrieval"
"数据库/数据挖掘/内容检索","会议","A",,"VLDB","International Conference on Very Large Data Bases"
"数据库/数据挖掘/内容检索","会议","B",,"CIKM","ACM International Conference on Information and Knowledge Management"
"数据库/数据挖掘/内容检索","会议","B",,"WSDM","ACM International Conference on Web Search and Data Mining"
"数据库/数据挖掘/内容检索","会议","B",,"PODS","ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems"
"数据库/数据挖掘/内容检索","会议","B",,"DASFAA","International Conference on Database Systems for Advanced Applications"
"数据库/数据挖掘/内容检索","会议","B",,"ECML-PKDD","European Conference on Machine Learning  and Principles and Practice of Knowledge Discovery in Databases"
"数据库/数据挖掘/内容检索","会议","B",,"ISWC","IEEE International Semantic Web Conference"
"数据库/数据挖掘/内容检索","会议","B",,"ICDM","IEEE International Conference on Data Mining"
"数据库/数据挖掘/内容检索","会议","B",,"ICDT","International Conference on Database Theory"
"数据库/数据挖掘/内容检索","会议","B",,"EDBT","International Conference on Extending Database Technology"
"数据库/数据挖掘/内容检索","会议","B",,"CIDR","Conference on Innovative Data Systems Research"
"数据库/数据挖掘/内容检索","会议","B",,"SDM","SIAM International Conference on Data Mining"
"数据库/数据挖掘/内容检索","会议","B",,"RecSys","ACM Conference on Recommender Systems"
"数据库/数据挖掘/内容检索","会议","B",,"WISE","Web Information Systems Engineering Conference"
"数据库/数据挖掘/内容检索","会议","C",,"APWeb","Asia Pacific Web Conference"
"数据库/数据挖掘/内容检索","会议","C",,"DEXA","International Conference on Database and Expert System Applications"
"数据库/数据挖掘/内容检索","会议","C",,"ECIR","European Conference on Information Retrieval"
"数据库/数据挖掘/内容检索","会议","C",,"ESWC","Extended Semantic Web Conference"
"数据库/数据挖掘/内容检索","会议","C",,"WebDB","International Workshop on Web and  Databases"
"数据库/数据挖掘/内容检索","会议","C",,"ER","International Conference on Conceptual Modeling"
