fullname,abbr,issn,category,rank,ccf-rank,分区,Top 期刊
Ore Geology Reviews,ORE GEOL REV,0169-1368,地球科学,C,,2,否
Palaeogeography Palaeoclimatology Palaeoecology,PALAEOGEOGR PALAEOCL,0031-0182,地球科学,C,,2,否
Palaeontographica Abteilung B-Palaeophytologie Palaeobotany- Palaeophytology,PALAEONTOGR ABT B,2194-900X,地球科学,C,,4,否
Palaeontology,PALAEONTOLOGY,0031-0239,地球科学,C,,2,否
Paleobiology,PALEOBIOLOGY,0094-8373,地球科学,C,,2,否
Paleoceanography and Paleoclimatology,PALEOCEANOGR PALEOCL,2572-4517,地球科学,C,,2,否
Papers in Palaeontology,PAP PALAEONTOL,2056-2799,地球科学,C,,2,否
Precambrian Research,PRECAMBRIAN RES,0301-9268,地球科学,C,,2,否
Progress in Physical Geography- Earth and Environment,PROG PHYS GEOG,0309-1333,地球科学,C,,3,否
Quarterly Journal of the Royal Meteorological Society,Q J ROY METEOR SOC,0035-9009,地球科学,C,,3,否
Quaternary Geochronology,QUAT GEOCHRONOL,1871-1014,地球科学,C,,3,否
Science China-Earth Sciences,SCI CHINA EARTH SCI,1674-7313,地球科学,C,,1,是
Sedimentary Geology,SEDIMENT GEOL,0037-0738,地球科学,C,,3,否
Seismological Research Letters,SEISMOL RES LETT,0895-0695,地球科学,C,,3,否
Space Weather-The International Journal of Research and Applications,SPACE WEATHER,1542-7390,地球科学,C,,2,是
Vegetation History and Archaeobotany,VEG HIST ARCHAEOBOT,0939-6314,地球科学,C,,2,否
Wiley Interdisciplinary Reviews-Water,WIRES WATER,2049-1948,地球科学,C,,1,是
2D Materials,2D MATER,2053-1583,材料科学,C,,3,否
Acta Metallurgica Sinica-English Letters,ACTA METALL SIN-ENGL,1006-7191,材料科学,C,,2,否
Advanced Electronic Materials,ADV ELECTRON MATER,2199-160X,材料科学,C,,3,否
Advanced Materials Interfaces,ADV MATER INTERFACES,2196-7350,材料科学,C,,3,否
Advanced Materials Technologies,ADV MATER TECHNOL-US,2365-709X,材料科学,C,,3,否
Advanced Optical Materials,ADV OPT MATER,2195-1071,材料科学,C,,2,否
Apl Materials,APL MATER,2166-532X,材料科学,C,,3,否
Applied Materials Today,APPL MATER TODAY,2352-9407,材料科学,C,,2,否
Calphad-Computer Coupling of Phase Diagrams and Thermochemistry,CALPHAD,0364-5916,材料科学,C,,3,否
Cellulose,CELLULOSE,0969-0239,材料科学,C,,3,否
Ceramics International,CERAM INT,0272-8842,材料科学,C,,2,否
Critical Reviews in Solid State and Materials Sciences,CRIT REV SOLID STATE,1040-8436,材料科学,C,,2,否
Current Opinion in Solid State & Materials Science,CURR OPIN SOLID ST M,1359-0286,材料科学,C,,2,否
Diamond and Related Materials,DIAM RELAT MATER,0925-9635,材料科学,C,,3,否
Dyes and Pigments,DYES PIGMENTS,0143-7208,材料科学,C,,2,否
Electrochimica Acta,ELECTROCHIM ACTA,0013-4686,材料科学,C,,2,否
European Journal of Wood and Wood Products,EUR J WOOD WOOD PROD,0018-3768,材料科学,C,,3,否
Fatigue & Fracture of Engineering Materials & Structures,FATIGUE FRACT ENG M,8756-758X,材料科学,C,,3,否
Holzforschung,HOLZFORSCHUNG,0018-3830,材料科学,C,,3,否
IEEE Journal of Photovoltaics,IEEE J PHOTOVOLT,2156-3381,材料科学,C,,4,否
International Journal of Adhesion and Adhesives,INT J ADHES ADHES,0143-7496,材料科学,C,,3,否
International Journal of Damage Mechanics,INT J DAMAGE MECH,1056-7895,材料科学,C,,2,否
International Journal of Material Forming,INT J MATER FORM,1960-6206,材料科学,C,,3,否
International Journal of Mechanics and Materials in Design,INT J MECH MATER DES,1569-1713,材料科学,C,,3,否
Intermetallics,INTERMETALLICS,0966-9795,材料科学,C,,2,否
Ironmaking & Steelmaking,IRONMAK STEELMAK,0301-9233,材料科学,C,,4,否
ISIJ International,ISIJ INT,0915-1559,材料科学,C,,4,否
IUCRJ,IUCRJ,2052-2525,材料科学,C,,3,否
Journal of Advanced Ceramics,J ADV CERAM,2226-4108,材料科学,C,,1,是
Journal of Alloys and Compounds,J ALLOY COMPD,0925-8388,材料科学,C,,2,否
Journal of the American Leather Chemists Association,J AM LEATHER CHEM AS,0002-9726,材料科学,C,,4,否
Journal of Applied Crystallography,J APPL CRYSTALLOGR,0021-8898,材料科学,C,,,
Journal of Asian Ceramic Societies,J ASIAN CERAM SOC,2187-0764,材料科学,C,,4,否
Journal of Energetic Materials,J ENERG MATER,0737-0652,材料科学,C,,4,否
Journal of Magnetism and Magnetic Materials,J MAGN MAGN MATER,0304-8853,材料科学,C,,3,否
Journal of Materials Chemistry C,J MATER CHEM C,2050-7526,材料科学,C,,3,否
Journal of Materials Research and Technology-Jmr&T,J MATER RES TECHNOL,2238-7854,材料科学,C,,2,否
Journal of Materials Science,J MATER SCI,0022-2461,材料科学,C,,3,否
Journal of Non-Crystalline Solids,J NON-CRYST SOLIDS,0022-3093,材料科学,C,,3,否
Journal of Nondestructive Evaluation,J NONDESTRUCT EVAL,0195-9298,材料科学,C,,3,否
Liquid Crystals Reviews,LIQ CRYST REV,2168-0396,材料科学,C,,3,否
Macromolecular Materials and Engineering,MACROMOL MATER ENG,1438-7492,材料科学,C,,3,否
Maderas-Ciencia y Tecnologia,MADERAS-CIENC TECNOL,0718-221X,材料科学,C,,4,否
Materials and Manufacturing Processes,MATER MANUF PROCESS,1042-6914,材料科学,C,,3,否
Materials Research Letters,MATER RES LETT,2166-3831,材料科学,C,,1,是
Metallurgical and Materials Transactions A-Physical Metallurgy and Materials Science,METALL MATER TRANS A,1073-5623,材料科学,C,,3,否
Metallurgical and Materials Transactions B-Process Metallurgy and Materials Processing Science,METALL MATER TRANS B,1073-5615,材料科学,C,,3,否
MRS Bulletin,MRS BULL,0883-7694,材料科学,C,,3,否
Nanoscale Horizons,NANOSCALE HORIZ,2055-6756,材料科学,C,,2,否
NPG Asia Materials,NPG ASIA MATER,1884-4049,材料科学,C,,2,否
Optical Materials,OPT MATER,0925-3467,材料科学,C,,3,否
Oxidation of Metals,OXID MET,0030-770X,材料科学,C,,,
Particuology,PARTICUOLOGY,1674-2001,材料科学,C,,3,否
Physical Review Materials,PHYS REV MATER,2475-9953,材料科学,C,,3,否
Polymer Testing,POLYM TEST,0142-9418,材料科学,C,,2,否
Progress in Crystal Growth and Characterization of Materials,PROG CRYST GROWTH CH,0960-8974,材料科学,C,,2,否
Progress in Natural Science-Materials International,PROG NAT SCI-MATER,1002-0071,材料科学,C,,3,否
Progress in Photovoltaics,PROG PHOTOVOLTAICS,1062-7995,材料科学,C,,2,否
Rare Metals,RARE METALS,1001-0521,材料科学,C,,1,是
Science and Technology of Welding and Joining,SCI TECHNOL WELD JOI,1362-1718,材料科学,C,,3,否
Smart Materials and Structures,SMART MATER STRUCT,0964-1726,材料科学,C,,3,否
Solar Energy Materials and Solar Cells,SOL ENERG MAT SOL C,0927-0248,材料科学,C,,2,否
Surface Engineering,SURF ENG,0267-0844,材料科学,C,,4,否
Synthetic Metals,SYNTHETIC MET,0379-6779,材料科学,C,,3,否
Transactions of Nonferrous Metals Society of China,T NONFERR METAL SOC,1003-6326,材料科学,C,,2,否
Vacuum,VACUUM,0042-207X,材料科学,C,,3,否
Wood Science and Technology,WOOD SCI TECHNOL,0043-7719,材料科学,C,,2,否
Journal of Cultural Heritage,J CULT HERIT,1296-2074,综合性期刊,D,,2,否
Journal of Radiation Research and Applied Sciences,J RADIAT RES APPL SC,1687-8507,综合性期刊,D,,4,否
Proceedings of the Japan Academy Series B-Physical and Biological Sciences,P JPN ACAD B-PHYS,0386-2208,综合性期刊,D,,2,否
Proceedings of the Royal Society A-Mathematical Physical and Engineering Sciences,P ROY SOC A-MATH PHY,1364-5021,综合性期刊,D,,3,否
Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences,PHILOS T R SOC A,1364-503X,综合性期刊,D,,3,否
PLOS One,PLOS ONE,1932-6203,综合性期刊,D,,3,否
Research Synthesis Methods,RES SYNTH METHODS,1759-2879,综合性期刊,D,,2,否
Royal Society Open Science,ROY SOC OPEN SCI,2054-5703,综合性期刊,D,,3,否
Science of Nature,SCI NAT-HEIDELBERG,0028-1042,综合性期刊,D,,3,否
Scientific Reports,SCI REP-UK,2045-2322,综合性期刊,D,,3,否
AAPS Journal,AAPS J,1550-7416,医学,D,,3,否
Abdominal Radiology,ABDOM RADIOL,2366-004X,医学,D,,3,否
Academic Radiology,ACAD RADIOL,1076-6332,医学,D,,2,否
ACS Chemical Neuroscience,ACS CHEM NEUROSCI,1948-7193,医学,D,,3,否
Acta Anaesthesiologica Scandinavica,ACTA ANAESTH SCAND,0001-5172,医学,D,,4,否
Acta Dermato-Venereologica,ACTA DERM-VENEREOL,0001-5555,医学,D,,3,否
Acta Diabetologica,ACTA DIABETOL,0940-5429,医学,D,,3,否
Acta Neurochirurgica,ACTA NEUROCHIR,0001-6268,医学,D,,3,否
Acta Neurologica Scandinavica,ACTA NEUROL SCAND,0001-6314,医学,D,,3,否
Acta Oncologica,ACTA ONCOL,0284-186X,医学,D,,3,否
Advances in Chronic Kidney Disease,ADV CHRONIC KIDNEY D,1548-5595,医学,D,,,
Advances in Clinical Chemistry,ADV CLIN CHEM,0065-2423,医学,D,,,
Advances in Nursing Science,ADV NURS SCI,0161-9268,医学,D,,4,否
Advances in Therapy,ADV THER,0741-238X,医学,D,,3,否
Advances in Wound Care,ADV WOUND CARE,2162-1918,医学,D,,3,否
Aging and Disease,AGING DIS,2152-5250,医学,D,,3,否
Aging Male,AGING MALE,1368-5538,医学,D,,3,否
Allergology International,ALLERGOL INT,1323-8930,医学,D,,2,否
Allergy Asthma and Clinical Immunology,ALLERGY ASTHMA CL IM,1710-1492,医学,D,,4,否
Allergy and Asthma Proceedings,ALLERGY ASTHMA PROC,1088-5412,医学,D,,3,否
Alzheimer Disease & Associated Disorders,ALZ DIS ASSOC DIS,0893-0341,医学,D,,4,否
American Family Physician,AM FAM PHYSICIAN,0002-838X,医学,D,,3,否
American Journal of Clinical Dermatology,AM J CLIN DERMATOL,1175-0561,医学,D,,1,是
American Journal of Critical Care,AM J CRIT CARE,1062-3264,医学,D,,3,否
American Journal of Drug and Alcohol Abuse,AM J DRUG ALCOHOL AB,0095-2990,医学,D,,3,否
American Journal of Hypertension,AM J HYPERTENS,0895-7061,医学,D,,3,否
American Journal of Industrial Medicine,AM J IND MED,0271-3586,医学,D,,3,否
American Journal of Infection Control,AM J INFECT CONTROL,0196-6553,医学,D,,3,否
American Journal of Medical Genetics Part B- Neuropsychiatric Genetics,AM J MED GENET B,1552-4841,医学,D,,4,否
American Journal of Nephrology,AM J NEPHROL,0250-8095,医学,D,,2,否
American Journal of Reproductive Immunology,AM J REPROD IMMUNOL,1046-7408,医学,D,,4,否
American Journal of Rhinology & Allergy,AM J RHINOL ALLERGY,1945-8924,医学,D,,3,否
American Journal of Speech-Language Pathology,AM J SPEECH-LANG PAT,1058-0360,医学,D,,3,否
American Journal of Surgery,AM J SURG,0002-9610,医学,D,,3,否
American Journal of Translational Research,AM J TRANSL RES,1943-8141,医学,D,,4,否
American Journal of Tropical Medicine and Hygiene,AM J TROP MED HYG,0002-9637,医学,D,,4,否
Amyloid-Journal of Protein Folding Disorders,AMYLOID,1350-6129,医学,D,,2,否
Anaesthesia Critical Care & Pain Medicine,ANAESTH CRIT CARE PA,2352-5568,医学,D,,2,否
Angiology,ANGIOLOGY,0003-3197,医学,D,,3,否
Annals of Allergy Asthma & Immunology,ANN ALLERG ASTHMA IM,1081-1206,医学,D,,2,否
Annals of Anatomy-Anatomischer Anzeiger,ANN ANAT,0940-9602,医学,D,,3,否
Annals of Clinical Microbiology and Antimicrobials,ANN CLIN MICROB ANTI,1476-0711,医学,D,,2,否
Annals of Epidemiology,ANN EPIDEMIOL,1047-2797,医学,D,,3,否
Annals of Hematology,ANN HEMATOL,0939-5555,医学,D,,3,否
Annals of Laboratory Medicine,ANN LAB MED,2234-3806,医学,D,,2,否
Annals of Medicine,ANN MED,0785-3890,医学,D,,2,否
Annals of Nutrition and Metabolism,ANN NUTR METAB,0250-6807,医学,D,,4,否
Annals of Otology Rhinology and Laryngology,ANN OTO RHINOL LARYN,0003-4894,医学,D,,4,否
Annals of Physical and Rehabilitation Medicine,ANN PHYS REHABIL MED,1877-0657,医学,D,,2,否
Antimicrobial Resistance and Infection Control,ANTIMICROB RESIST IN,2047-2994,医学,D,,2,否
Antioxidants,ANTIOXIDANTS-BASEL,2076-3921,医学,D,,2,否
Applied Health Economics and Health Policy,APPL HEALTH ECON HEA,1175-5652,医学,D,,3,否
Applied Nursing Research,APPL NURS RES,0897-1897,医学,D,,3,否
Applied Physiology Nutrition and Metabolism,APPL PHYSIOL NUTR ME,1715-5312,医学,D,,4,否
Archives of Cardiovascular Diseases,ARCH CARDIOVASC DIS,1875-2136,医学,D,,4,否
Archives of Dermatological Research,ARCH DERMATOL RES,0340-3696,医学,D,,4,否
Archives of Gerontology and Geriatrics,ARCH GERONTOL GERIAT,0167-4943,医学,D,,3,否
Archives of Gynecology and Obstetrics,ARCH GYNECOL OBSTET,0932-0067,医学,D,,4,否
Archives of Medical Science,ARCH MED SCI,1734-1922,医学,D,,4,否
Archives of Oral Biology,ARCH ORAL BIOL,0003-9969,医学,D,,4,否
Archives of Orthopaedic and Trauma Surgery,ARCH ORTHOP TRAUM SU,0936-8051,医学,D,,3,否
Archives of Osteoporosis,ARCH OSTEOPOROS,1862-3522,医学,D,,3,否
Archives of Physical Medicine and Rehabilitation,ARCH PHYS MED REHAB,0003-9993,医学,D,,2,否
Archives of Womens Mental Health,ARCH WOMEN MENT HLTH,1434-1816,医学,D,,3,否
Asian Journal of Surgery,ASIAN J SURG,1015-9584,医学,D,,3,否
Asn Neuro,ASN NEURO,1759-0914,医学,D,,4,否
Audiology and Neuro-Otology,AUDIOL NEURO-OTOL,1420-3030,医学,D,,4,否
Australian Critical Care,AUST CRIT CARE,1036-7314,医学,D,,3,否
Australian Endodontic Journal,AUST ENDOD J,1329-1947,医学,D,,4,否
Australian and New Zealand Journal of Public Health,AUST NZ J PUBL HEAL,1326-0200,医学,D,,3,否
Basic & Clinical Pharmacology & Toxicology,BASIC CLIN PHARMACOL,1742-7835,医学,D,,4,否
Behavioral Medicine,BEHAV MED,0896-4289,医学,D,,4,否
Behavioral Sleep Medicine,BEHAV SLEEP MED,1540-2002,医学,D,,4,否
Beneficial Microbes,BENEF MICROBES,1876-2883,医学,D,,4,否
Best Practice & Research in Clinical Rheumatology,BEST PRACT RES CL RH,1521-6942,医学,D,,2,否
Biology of Sex Differences,BIOL SEX DIFFER,2042-6410,医学,D,,2,否
Biology of Sport,BIOL SPORT,0860-021X,医学,D,,2,否
Biomedical and Environmental Sciences,BIOMED ENVIRON SCI,0895-3988,医学,D,,4,否
Biomolecules & Therapeutics,BIOMOL THER,1976-9148,医学,D,,4,否
Bioorganic & Medicinal Chemistry Letters,BIOORG MED CHEM LETT,0960-894X,医学,D,,4,否
Bioorganic & Medicinal Chemistry,BIOORGAN MED CHEM,0968-0896,医学,D,,3,否
Blood Transfusion,BLOOD TRANSFUS-ITALY,1723-2007,医学,D,,3,否
BMC Cancer,BMC CANCER,1471-2407,医学,D,,3,否
BMC Cardiovascular Disorders,BMC CARDIOVASC DISOR,1471-2261,医学,D,,3,否
BMC Complementary and Alternative Medicine,BMC COMPLEM ALTERN M,1472-6882/2662-7671,医学,D,,,
BMC Family Practice,BMC FAM PRACT,1471-2296,医学,D,,,
BMC Gastroenterology,BMC GASTROENTEROL,1471-230X,医学,D,,3,否
BMC Health Services Research,BMC HEALTH SERV RES,1472-6963,医学,D,,2,否
BMC Infectious Diseases,BMC INFECT DIS,1471-2334,医学,D,,3,否
BMC Medical Informatics and Decision Making,BMC MED INFORM DECIS,1472-6947,医学,D,,3,否
BMC Medical Research Methodology,BMC MED RES METHODOL,1471-2288,医学,D,,2,否
BMC Musculoskeletal Disorders,BMC MUSCULOSKEL DIS,1471-2474,医学,D,,3,否
BMC Nephrology,BMC NEPHROL,1471-2369,医学,D,,3,否
BMC Neurology,BMC NEUROL,1471-2377,医学,D,,3,否
BMC Neuroscience,BMC NEUROSCI,1471-2202,医学,D,,4,否
BMC Oral Health,BMC ORAL HEALTH,1472-6831,医学,D,,2,否
BMC Pediatrics,BMC PEDIATR,1471-2431,医学,D,,3,否
BMC Pharmacology & Toxicology,BMC PHARMACOL TOXICO,2050-6511,医学,D,,3,否
BMC Pulmonary Medicine,BMC PULM MED,1471-2466,医学,D,,3,否
BMC Surgery,BMC SURG,1471-2482,医学,D,,3,否
BMJ Open,BMJ OPEN,2044-6055,医学,D,,4,否
Brachytherapy,BRACHYTHERAPY,1538-4721,医学,D,,4,否
Brain Imaging and Behavior,BRAIN IMAGING BEHAV,1931-7557,医学,D,,4,否
Brain Research,BRAIN RES,0006-8993,医学,D,,4,否
Brain Research Bulletin,BRAIN RES BULL,0361-9230,医学,D,,3,否
Breast Journal,BREAST J,1075-122X,医学,D,,4,否
British Medical Bulletin,BRIT MED BULL,0007-1420,医学,D,,2,否
Burns,BURNS,0305-4179,医学,D,,3,否
Calcified Tissue International,CALCIFIED TISSUE INT,0171-967X,医学,D,,3,否
Canadian Journal of Anesthesia- Journal Canadien D Anesthesie,CAN J ANESTH,0832-610X,医学,D,,3,否
Canadian Journal of Surgery,CAN J SURG,0008-428X,医学,D,,3,否
Cancer Causes & Control,CANCER CAUSE CONTROL,0957-5243,医学,D,,3,否
Cancer Cell International,CANCER CELL INT,1475-2867,医学,D,,3,否
Cancer Chemotherapy and Pharmacology,CANCER CHEMOTH PHARM,0344-5704,医学,D,,4,否
Cancer Communications,CANCER COMMUN,2523-3548,医学,D,,1,是
Cancer Epidemiology,CANCER EPIDEMIOL,1877-7821,医学,D,,3,否
Cancer Gene Therapy,CANCER GENE THER,0929-1903,医学,D,,3,否
Cancer Genomics & Proteomics,CANCER GENOM PROTEOM,1109-6535,医学,D,,4,否
Cancer Imaging,CANCER IMAGING,1470-7330/1740-5025,医学,D,,,
Cancer Immunology Immunotherapy,CANCER IMMUNOL IMMUN,0340-7004,医学,D,,3,否
Cancer Nursing,CANCER NURS,0162-220X,医学,D,,3,否
Cancer Research and Treatment,CANCER RES TREAT,1598-2998,医学,D,,2,否
Cancers,CANCERS,2072-6694,医学,D,,3,否
Cardiology Clinics,CARDIOL CLIN,0733-8651,医学,D,,3,否
Cardiorenal Medicine,CARDIORENAL MED,1664-3828,医学,D,,3,否
Cardiovascular Diagnosis and Therapy,CARDIOVASC DIAGN THE,2223-3652,医学,D,,4,否
Cardiovascular and Interventional Radiology,CARDIOVASC INTER RAD,0174-1551,医学,D,,3,否
Cardiovascular Toxicology,CARDIOVASC TOXICOL,1530-7905,医学,D,,4,否
Cartilage,CARTILAGE,1947-6035,医学,D,,4,否
Catheterization and Cardiovascular Interventions,CATHETER CARDIO INTE,1522-1946,医学,D,,3,否
Cell Transplantation,CELL TRANSPLANT,0963-6897,医学,D,,4,否
Cerebellum,CEREBELLUM,1473-4222,医学,D,,3,否
Cerebrovascular Diseases,CEREBROVASC DIS,1015-9770,医学,D,,4,否
Chemical Research in Toxicology,CHEM RES TOXICOL,0893-228X,医学,D,,3,否
Chemmedchem,CHEMMEDCHEM,1860-7179,医学,D,,4,否
Childhood Obesity,CHILD OBES,2153-2168,医学,D,,4,否
Chinese Journal of Integrative Medicine,CHIN J INTEGR MED,1672-0415,医学,D,,4,否
Chinese Journal of Natural Medicines,CHIN J NAT MEDICINES,2095-6975,医学,D,,2,否
Chinese Journal of Cancer Research,CHINESE J CANCER RES,1000-9604,医学,D,,2,否
Chronic Respiratory Disease,CHRON RESP DIS,1479-9723,医学,D,,3,否
Chronobiology International,CHRONOBIOL INT,0742-0528,医学,D,,4,否
Circulation Journal,CIRC J,1346-9843,医学,D,,3,否
Cleft Palate-Craniofacial Journal,CLEFT PALATE-CRAN J,1055-6656,医学,D,,4,否
Clinical Anatomy,CLIN ANAT,0897-3806,医学,D,,4,否
Clinical Autonomic Research,CLIN AUTON RES,0959-9851,医学,D,,3,否
Clinical Biochemistry,CLIN BIOCHEM,0009-9120,医学,D,,3,否
Clinical Breast Cancer,CLIN BREAST CANCER,1526-8209,医学,D,,3,否
Clinical Cardiology,CLIN CARDIOL,0160-9289,医学,D,,3,否
Clinica Chimica Acta,CLIN CHIM ACTA,0009-8981,医学,D,,3,否
Clinics in Dermatology,CLIN DERMATOL,0738-081X,医学,D,,4,否
Clinical Drug Investigation,CLIN DRUG INVEST,1173-2563,医学,D,,3,否
Clinical Epidemiology,CLIN EPIDEMIOL,1179-1349,医学,D,,3,否
Clinical & Experimental Metastasis,CLIN EXP METASTAS,0262-0898,医学,D,,3,否
Clinical and Experimental Ophthalmology,CLIN EXP OPHTHALMOL,1442-6404,医学,D,,2,否
Clinical and Experimental Rheumatology,CLIN EXP RHEUMATOL,0392-856X,医学,D,,3,否
Clinical Immunology,CLIN IMMUNOL,1521-6616,医学,D,,3,否
Clinical Interventions in Aging,CLIN INTERV AGING,1178-1998,医学,D,,2,否
Clinical Journal of Pain,CLIN J PAIN,0749-8047,医学,D,,2,否
Clinical Journal of Sport Medicine,CLIN J SPORT MED,1050-642X,医学,D,,3,否
Clinical Kidney Journal,CLIN KIDNEY J,2048-8505,医学,D,,3,否
Clinics in Laboratory Medicine,CLIN LAB MED,0272-2712,医学,D,,4,否
Clinical Neuroradiology,CLIN NEURORADIOL,1869-1439,医学,D,,3,否
Clinical Nuclear Medicine,CLIN NUCL MED,0363-9762,医学,D,,3,否
Clinical Otolaryngology,CLIN OTOLARYNGOL,1749-4478,医学,D,,4,否
Clinical Physiology and Functional Imaging,CLIN PHYSIOL FUNCT I,1475-0961,医学,D,,4,否
Clinical Proteomics,CLIN PROTEOM,1542-6416,医学,D,,3,否
Clinics in Sports Medicine,CLIN SPORT MED,0278-5919,医学,D,,4,否
Clinical Therapeutics,CLIN THER,0149-2918,医学,D,,4,否
Clinical Trials,CLIN TRIALS,1740-7745,医学,D,,3,否
CNS Spectrums,CNS SPECTRUMS,1092-8529,医学,D,,3,否
Comparative Immunology Microbiology and Infectious Diseases,COMP IMMUNOL MICROB,0147-9571,医学,D,,3,否
Congenital Heart Disease,CONGENIT HEART DIS,1747-079X,医学,D,,4,否
Contact Lens & Anterior Eye,CONTACT LENS ANTERIO,1367-0484,医学,D,,3,否
Contemporary Clinical Trials,CONTEMP CLIN TRIALS,1551-7144,医学,D,,3,否
COPD-Journal of Chronic Obstructive Pulmonary Disease,COPD,1541-2555,医学,D,,4,否
Cornea,CORNEA,0277-3740,医学,D,,4,否
Cts-Clinical and Translational Science,CTS-CLIN TRANSL SCI,1752-8054,医学,D,,3,否
Current Alzheimer Research,CURR ALZHEIMER RES,1567-2050,医学,D,,4,否
Current Cardiology Reports,CURR CARDIOL REP,1523-3782,医学,D,,3,否
Current Hematologic Malignancy Reports,CURR HEMATOL MALIG R,1558-8211,医学,D,,3,否
Current Infectious Disease Reports,CURR INFECT DIS REP,1523-3847,医学,D,,4,否
Current Medicinal Chemistry,CURR MED CHEM,0929-8673,医学,D,,4,否
Current Obesity Reports,CURR OBES REP,2162-4968,医学,D,,1,是
Current Opinion in Allergy and Clinical Immunology,CURR OPIN ALLERGY CL,1528-4050,医学,D,,3,否
Current Opinion in Anesthesiology,CURR OPIN ANESTHESIO,0952-7907,医学,D,,3,否
Current Opinion in Clinical Nutrition and Metabolic Care,CURR OPIN CLIN NUTR,1363-1950,医学,D,,3,否
Current Opinion in Critical Care,CURR OPIN CRIT CARE,1070-5295,医学,D,,2,否
Current Opinion in Endocrinology Diabetes and Obesity,CURR OPIN ENDOCRINOL,1752-296X,医学,D,,3,否
Current Opinion in Gastroenterology,CURR OPIN GASTROEN,0267-1379,医学,D,,4,否
Current Opinion in Hematology,CURR OPIN HEMATOL,1065-6251,医学,D,,4,否
Current Opinion in Nephrology and Hypertension,CURR OPIN NEPHROL HY,1062-4821,医学,D,,4,否
Current Opinion in Obstetrics & Gynecology,CURR OPIN OBSTET GYN,1040-872X,医学,D,,3,否
Current Opinion in Oncology,CURR OPIN ONCOL,1040-8746,医学,D,,3,否
Current Opinion in Organ Transplantation,CURR OPIN ORGAN TRAN,1087-2418,医学,D,,4,否
Current Opinion in Pediatrics,CURR OPIN PEDIATR,1040-8703,医学,D,,4,否
Current Opinion in Pulmonary Medicine,CURR OPIN PULM MED,1070-5287,医学,D,,3,否
Current Opinion in Urology,CURR OPIN UROL,0963-0643,医学,D,,3,否
Current Pain and Headache Reports,CURR PAIN HEADACHE R,1531-3433,医学,D,,3,否
Current Problems in Cancer,CURR PROB CANCER,0147-0272,医学,D,,4,否
Current Problems in Pediatric and Adolescent Health Care,CURR PROB PEDIATR AD,1538-5442,医学,D,,3,否
Current Topics in Medicinal Chemistry,CURR TOP MED CHEM,1568-0266,医学,D,,4,否
Current Topics in Microbiology and Immunology,CURR TOP MICROBIOL,0070-217X,医学,D,,,
Current Urology Reports,CURR UROL REP,1527-2737,医学,D,,3,否
Cytokine,CYTOKINE,1043-4666,医学,D,,3,否
Dementia and Geriatric Cognitive Disorders,DEMENT GERIATR COGN,1420-8008,医学,D,,4,否
Dermatitis,DERMATITIS,1710-3568,医学,D,,2,否
Dermatologic Surgery,DERMATOL SURG,1076-0512,医学,D,,3,否
Dermatology,DERMATOLOGY,1018-8665,医学,D,,3,否
Dermatology and Therapy,DERMATOLOGY THER,2193-8210,医学,D,,3,否
Diabetes Metabolic Syndrome and Obesity-Targets and Therapy,DIABET METAB SYND OB,1178-7007,医学,D,,3,否
Diabetes & Metabolism,DIABETES METAB,1262-3636,医学,D,,2,否
Diabetes & Metabolism Journal,DIABETES METAB J,2233-6079,医学,D,,2,否
Diabetes Research and Clinical Practice,DIABETES RES CLIN PR,0168-8227,医学,D,,3,否
Diabetes Technology & Therapeutics,DIABETES TECHNOL THE,1520-9156,医学,D,,2,否
Diagnostic and Interventional Imaging,DIAGN INTERV IMAG,2211-5684,医学,D,,2,否
Diagnostic Microbiology and Infectious Disease,DIAGN MICR INFEC DIS,0732-8893,医学,D,,4,否
Diagnostic Pathology,DIAGN PATHOL,1746-1596,医学,D,,3,否
Digestive Diseases,DIGEST DIS,0257-2753,医学,D,,4,否
Digestive Diseases and Sciences,DIGEST DIS SCI,0163-2116,医学,D,,4,否
Digestive and Liver Disease,DIGEST LIVER DIS,1590-8658,医学,D,,2,否
Digestion,DIGESTION,0012-2823,医学,D,,4,否
Diseases of the Esophagus,DIS ESOPHAGUS,1442-2050/1120-8694,医学,D,,,
Disability and Rehabilitation,DISABIL REHABIL,0963-8288,医学,D,,4,否
DNA Repair,DNA REPAIR,1568-7864,医学,D,,3,否
Drugs & Aging,DRUG AGING,1170-229X,医学,D,,3,否
Drug Delivery and Translational Research,DRUG DELIV TRANSL RE,2190-393X,医学,D,,3,否
Drug Design Development and Therapy,DRUG DES DEV THER,1177-8881,医学,D,,2,否
Drug Testing and Analysis,DRUG TEST ANAL,1942-7603,医学,D,,3,否
Early Human Development,EARLY HUM DEV,0378-3782,医学,D,,3,否
Early Intervention in Psychiatry,EARLY INTERV PSYCHIA,1751-7885,医学,D,,3,否
Eating and Weight Disorders-Studies on Anorexia Bulimia and Obesity,EAT WEIGHT DISORD-ST,1124-4909,医学,D,,3,否
EJNMMI Research,EJNMMI RES,2191-219X,医学,D,,3,否
Emergency Medicine Journal,EMERG MED J,1472-0205,医学,D,,3,否
Endocrine Connections,ENDOCR CONNECT,2049-3614,医学,D,,3,否
Endocrine Pathology,ENDOCR PATHOL,1046-3976,医学,D,,1,是
Endocrine Practice,ENDOCR PRACT,1530-891X,医学,D,,3,否
